Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz),wrap_Auto,wrap_n_SA,wrap_SA_size_y,wrap_SA_size_x,wrap_Temporal,layer_macs,num_adders_tile,num_adder_stages
C1,T694,SA,16,16,2,8,1000000000.0,{'L265': 1024.0},{'L265': 2},{'L265': 128},{'L265': 512.0},{'L265': 1},{'L265': 134217728.0},256.0,1.0
C1,T701,SA,16,16,2,8,1000000000.0,{'L268': 1024.0},{'L268': 2},{'L268': 128},{'L268': 1024.0},{'L268': 1},{'L268': 268435456.0},256.0,1.0
C1,T704,SA,16,16,2,8,1000000000.0,{'L269': 1024.0},{'L269': 2},{'L269': 128},{'L269': 1024.0},{'L269': 1},{'L269': 268435456.0},256.0,1.0
C1,T709,SA,16,16,2,8,1000000000.0,{'L271': 3072.0},{'L271': 2},{'L271': 128},{'L271': 512.0},{'L271': 1},{'L271': 402653184.0},256.0,1.0
C1,T712,SA,16,16,2,8,1000000000.0,{'L272': 3072.0},{'L272': 2},{'L272': 128},{'L272': 512.0},{'L272': 1},{'L272': 402653184.0},256.0,1.0
C1,T717,SA,16,16,2,8,1000000000.0,{'L274': 1024.0},{'L274': 2},{'L274': 128},{'L274': 1536.0},{'L274': 1},{'L274': 402653184.0},256.0,1.0
C1,T722,SA,16,16,2,8,1000000000.0,{'L276': 2048.0},{'L276': 2},{'L276': 128},{'L276': 512.0},{'L276': 1},{'L276': 268435456.0},256.0,1.0
C1,T725,SA,16,16,2,8,1000000000.0,{'L277': 1024.0},{'L277': 2},{'L277': 128},{'L277': 512.0},{'L277': 1},{'L277': 134217728.0},256.0,1.0
C1,T728,SA,16,16,2,8,1000000000.0,{'L278': 1024.0},{'L278': 2},{'L278': 128},{'L278': 512.0},{'L278': 1},{'L278': 134217728.0},256.0,1.0
C1,T735,SA,16,16,2,8,1000000000.0,{'L281': 1024.0},{'L281': 2},{'L281': 128},{'L281': 1024.0},{'L281': 1},{'L281': 268435456.0},256.0,1.0
C1,T738,SA,16,16,2,8,1000000000.0,{'L282': 1024.0},{'L282': 2},{'L282': 128},{'L282': 1024.0},{'L282': 1},{'L282': 268435456.0},256.0,1.0
C1,T743,SA,16,16,2,8,1000000000.0,{'L284': 3072.0},{'L284': 2},{'L284': 128},{'L284': 512.0},{'L284': 1},{'L284': 402653184.0},256.0,1.0
C1,T746,SA,16,16,2,8,1000000000.0,{'L285': 3072.0},{'L285': 2},{'L285': 128},{'L285': 512.0},{'L285': 1},{'L285': 402653184.0},256.0,1.0
C1,T751,SA,16,16,2,8,1000000000.0,{'L287': 1024.0},{'L287': 2},{'L287': 128},{'L287': 1536.0},{'L287': 1},{'L287': 402653184.0},256.0,1.0
C1,T756,SA,16,16,2,8,1000000000.0,{'L289': 2048.0},{'L289': 2},{'L289': 128},{'L289': 512.0},{'L289': 1},{'L289': 268435456.0},256.0,1.0
C1,T759,SA,16,16,2,8,1000000000.0,{'L290': 1024.0},{'L290': 2},{'L290': 128},{'L290': 512.0},{'L290': 1},{'L290': 134217728.0},256.0,1.0
C1,T762,SA,16,16,2,8,1000000000.0,{'L291': 1024.0},{'L291': 2},{'L291': 128},{'L291': 512.0},{'L291': 1},{'L291': 134217728.0},256.0,1.0
C1,T769,SA,16,16,2,8,1000000000.0,{'L294': 1024.0},{'L294': 2},{'L294': 128},{'L294': 1024.0},{'L294': 1},{'L294': 268435456.0},256.0,1.0
C1,T772,SA,16,16,2,8,1000000000.0,{'L295': 1024.0},{'L295': 2},{'L295': 128},{'L295': 1024.0},{'L295': 1},{'L295': 268435456.0},256.0,1.0
C1,T777,SA,16,16,2,8,1000000000.0,{'L297': 3072.0},{'L297': 2},{'L297': 128},{'L297': 512.0},{'L297': 1},{'L297': 402653184.0},256.0,1.0
C1,T780,SA,16,16,2,8,1000000000.0,{'L298': 3072.0},{'L298': 2},{'L298': 128},{'L298': 512.0},{'L298': 1},{'L298': 402653184.0},256.0,1.0
C1,T785,SA,16,16,2,8,1000000000.0,{'L300': 1024.0},{'L300': 2},{'L300': 128},{'L300': 1536.0},{'L300': 1},{'L300': 402653184.0},256.0,1.0
C1,T790,SA,16,16,2,8,1000000000.0,{'L302': 2048.0},{'L302': 2},{'L302': 128},{'L302': 512.0},{'L302': 1},{'L302': 268435456.0},256.0,1.0
C1,T793,SA,16,16,2,8,1000000000.0,{'L303': 1024.0},{'L303': 2},{'L303': 128},{'L303': 512.0},{'L303': 1},{'L303': 134217728.0},256.0,1.0
C1,T796,SA,16,16,2,8,1000000000.0,{'L304': 1024.0},{'L304': 2},{'L304': 128},{'L304': 512.0},{'L304': 1},{'L304': 134217728.0},256.0,1.0
C1,T803,SA,16,16,2,8,1000000000.0,{'L307': 1024.0},{'L307': 2},{'L307': 128},{'L307': 1024.0},{'L307': 1},{'L307': 268435456.0},256.0,1.0
C1,T806,SA,16,16,2,8,1000000000.0,{'L308': 1024.0},{'L308': 2},{'L308': 128},{'L308': 1024.0},{'L308': 1},{'L308': 268435456.0},256.0,1.0
C1,T811,SA,16,16,2,8,1000000000.0,{'L310': 3072.0},{'L310': 2},{'L310': 128},{'L310': 512.0},{'L310': 1},{'L310': 402653184.0},256.0,1.0
C1,T814,SA,16,16,2,8,1000000000.0,{'L311': 3072.0},{'L311': 2},{'L311': 128},{'L311': 512.0},{'L311': 1},{'L311': 402653184.0},256.0,1.0
C1,T819,SA,16,16,2,8,1000000000.0,{'L313': 1024.0},{'L313': 2},{'L313': 128},{'L313': 1536.0},{'L313': 1},{'L313': 402653184.0},256.0,1.0
C1,T824,SA,16,16,2,8,1000000000.0,{'L315': 2048.0},{'L315': 2},{'L315': 128},{'L315': 512.0},{'L315': 1},{'L315': 268435456.0},256.0,1.0
C1,T827,SA,16,16,2,8,1000000000.0,{'L316': 1024.0},{'L316': 2},{'L316': 128},{'L316': 512.0},{'L316': 1},{'L316': 134217728.0},256.0,1.0
C1,T830,SA,16,16,2,8,1000000000.0,{'L317': 1024.0},{'L317': 2},{'L317': 128},{'L317': 512.0},{'L317': 1},{'L317': 134217728.0},256.0,1.0
C1,T837,SA,16,16,2,8,1000000000.0,{'L320': 1024.0},{'L320': 2},{'L320': 128},{'L320': 1024.0},{'L320': 1},{'L320': 268435456.0},256.0,1.0
C1,T840,SA,16,16,2,8,1000000000.0,{'L321': 1024.0},{'L321': 2},{'L321': 128},{'L321': 1024.0},{'L321': 1},{'L321': 268435456.0},256.0,1.0
C1,T845,SA,16,16,2,8,1000000000.0,{'L323': 3072.0},{'L323': 2},{'L323': 128},{'L323': 512.0},{'L323': 1},{'L323': 402653184.0},256.0,1.0
C1,T848,SA,16,16,2,8,1000000000.0,{'L324': 3072.0},{'L324': 2},{'L324': 128},{'L324': 512.0},{'L324': 1},{'L324': 402653184.0},256.0,1.0
C1,T853,SA,16,16,2,8,1000000000.0,{'L326': 1024.0},{'L326': 2},{'L326': 128},{'L326': 1536.0},{'L326': 1},{'L326': 402653184.0},256.0,1.0
C1,T858,SA,16,16,2,8,1000000000.0,{'L328': 2048.0},{'L328': 2},{'L328': 128},{'L328': 512.0},{'L328': 1},{'L328': 268435456.0},256.0,1.0
C1,T861,SA,16,16,2,8,1000000000.0,{'L329': 1024.0},{'L329': 2},{'L329': 128},{'L329': 512.0},{'L329': 1},{'L329': 134217728.0},256.0,1.0
C1,T864,SA,16,16,2,8,1000000000.0,{'L330': 1024.0},{'L330': 2},{'L330': 128},{'L330': 512.0},{'L330': 1},{'L330': 134217728.0},256.0,1.0
C1,T871,SA,16,16,2,8,1000000000.0,{'L333': 1024.0},{'L333': 2},{'L333': 128},{'L333': 1024.0},{'L333': 1},{'L333': 268435456.0},256.0,1.0
C1,T874,SA,16,16,2,8,1000000000.0,{'L334': 1024.0},{'L334': 2},{'L334': 128},{'L334': 1024.0},{'L334': 1},{'L334': 268435456.0},256.0,1.0
