freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,2d NoC latency,3d NoC latency,network_latency,network_energy,peak_temperature
0.75,0.75,512,144,4,2,32,242,125811562.76847866,649270428.62039,63812211556.66534,32144.451487567032,18634859.916666668,1271218.1377410467,19906078.054407712,800227656.6341537,NA
0.75,0.75,512,144,4,2,32,50,125811562.76847866,649270428.62039,63812211556.66534,32144.451487567032,18634859.916666668,6147294.1866666665,24782154.103333335,798900655.9346496,NA
0.75,0.75,512,144,4,2,32,18,125811562.76847866,649270428.62039,63812211556.66534,32144.451487567032,18634859.916666668,17073316.444444444,35708176.36111111,798680775.0870974,NA
0.75,0.75,512,100,4,3,32,1458,125811562.76847866,649270428.62039,66471053704.85973,22322.760860309372,8848368.833333334,427152.94741655234,9275521.780749885,468200681.0047428,NA
0.75,0.75,512,100,4,3,32,648,125811562.76847866,649270428.62039,66471053704.85973,22322.760860309372,8848368.833333334,959044.1316872429,9807412.965020576,456166842.5435572,NA
0.75,0.75,512,100,4,3,32,338,125811562.76847866,649270428.62039,66471053704.85973,22322.760860309372,8848368.833333334,1837136.6785009864,10685505.51183432,451636944.80572546,NA
0.75,0.75,512,100,4,3,32,242,125811562.76847866,649270428.62039,66471053704.85973,22322.760860309372,8848368.833333334,2565267.5922865015,11413636.425619835,450242629.5679376,NA
0.75,0.75,512,100,4,3,32,50,125811562.76847866,649270428.62039,66471053704.85973,22322.760860309372,8848368.833333334,12409597.546666667,21257966.38,447466046.57728,NA
0.75,0.75,512,100,4,3,32,18,125811562.76847866,649270428.62039,66471053704.85973,22322.760860309372,8848368.833333334,34468188.74074074,43316557.574074075,447004844.45651215,NA
0.75,0.75,512,64,4,4,32,1458,125811562.76847866,649270428.62039,56721965828.146965,14286.602937014402,9216714.166666666,419478.16186556924,9636192.328532236,408870116.79876494,NA
0.75,0.75,512,64,4,4,32,648,125811562.76847866,649270428.62039,56721965828.146965,14286.602937014402,9216714.166666666,941250.8641975309,10157965.030864198,398696233.5454705,NA
0.75,0.75,512,64,4,4,32,338,125811562.76847866,649270428.62039,56721965828.146965,14286.602937014402,9216714.166666666,1802638.9349112427,11019353.10157791,394883607.1439225,NA
0.75,0.75,512,64,4,4,32,242,125811562.76847866,649270428.62039,56721965828.146965,14286.602937014402,9216714.166666666,2516918.181818182,11733632.34848485,393712024.94776696,NA
0.75,0.75,512,64,4,4,32,50,125811562.76847866,649270428.62039,56721965828.146965,14286.602937014402,9216714.166666666,12173973.6,21390687.766666666,391381773.8921353,NA
0.75,0.75,512,64,4,4,32,18,125811562.76847866,649270428.62039,56721965828.146965,14286.602937014402,9216714.166666666,33812931.11111111,43029645.277777776,390995072.6672483,NA
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,2d NoC latency,3d NoC latency,network_latency,network_energy,peak_temperature
0.75,0.75,256,225,4,2,32,242,105954937.1958528,1022553256.9838592,264254022929.84793,132733.06648020537,25379672.25,1856912.1542699726,27236584.404269975,1729093733.7486086,358.87
0.75,0.75,256,169,4,3,32,242,105954937.1958528,1022553256.9838592,297726199167.62866,99697.9586774781,13592703.333333334,3414350.5785123967,17007053.91184573,1162180534.4778347,372.62
0.75,0.75,256,121,4,4,32,242,105954937.1958528,1022553256.9838592,284219882440.1031,71381.5622865412,13500111.416666666,3427995.4600550965,16928106.876721766,1103925556.2078638,375.64

freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,peak_temperature,placement_method,percent_router
1.0,1.0,256,400,16,400,32,242,2,31610493.763237912,959699742.5965995,413172302358.1244,208407.82740110625,M3D,29442960.125,16055.97520661157,0,29459016.10020661,4616520090.807252,836959.7586560453,0.0,4617357050.565908,NA,1,1.0
