Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L131,%1077:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.8/pre_feedforward_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L132,%1078,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.8/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L133,%1082,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.8/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L134,%1086,FastGelu,1,128,6912,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.8/mlp/act_fn/FastGelu,NA,NA,NA,NA,NA
L135,%1088,MatMulInteger,1,128,6912,NA,6912,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.8/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L136,%1092,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.8/post_feedforward_layernorm/LayerNorm,NA,NA,NA,NA,NA
L137,%1093:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.9/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L138,%1094,MatMulInteger,1,128,1152,NA,1152,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.9/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L139,%1098,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.9/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L140,%1102,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.9/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L141,%1107,SimplifiedLayerNormalization,1,512,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,512,256,NA,/model/layers.9/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L142,%1108,SimplifiedLayerNormalization,1,128,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.9/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L143,%1112:3,GroupQueryAttention,1,128,1024,NA,1,128,256,NA,1,128,256,NA,8,1,128,1024,NA,/model/layers.9/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L144,%1113,MatMulInteger,1,128,1024,NA,1024,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.9/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L145,%1117,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.9/post_attention_layernorm/LayerNorm,NA,NA,NA,NA,NA
L146,%1118:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.9/pre_feedforward_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L147,%1119,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.9/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L148,%1123,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.9/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
